Date,Year,Month,Day,Day of Week,Quarter,Week of Year,Is Weekend
2020-12-27,2020,12,27,Sunday,4,52,True
2020-12-28,2020,12,28,Monday,4,53,False
2020-12-29,2020,12,29,Tuesday,4,53,False
2020-12-30,2020,12,30,Wednesday,4,53,False
2020-12-31,2020,12,31,Thursday,4,53,False
2021-01-01,2021,1,1,Friday,1,53,False
2021-01-02,2021,1,2,Saturday,1,53,True
2021-01-03,2021,1,3,Sunday,1,53,True
2021-01-04,2021,1,4,Monday,1,1,False
2021-01-05,2021,1,5,Tuesday,1,1,False
2021-01-06,2021,1,6,Wednesday,1,1,False
2021-01-07,2021,1,7,Thursday,1,1,False
2021-01-08,2021,1,8,Friday,1,1,False
2021-01-09,2021,1,9,Saturday,1,1,True
2021-01-10,2021,1,10,Sunday,1,1,True
2021-01-11,2021,1,11,Monday,1,2,False
2021-01-12,2021,1,12,Tuesday,1,2,False
2021-01-13,2021,1,13,Wednesday,1,2,False
2021-01-14,2021,1,14,Thursday,1,2,False
2021-01-15,2021,1,15,Friday,1,2,False
2021-01-16,2021,1,16,Saturday,1,2,True
2021-01-17,2021,1,17,Sunday,1,2,True
2021-01-18,2021,1,18,Monday,1,3,False
2021-01-19,2021,1,19,Tuesday,1,3,False
2021-01-20,2021,1,20,Wednesday,1,3,False
2021-01-21,2021,1,21,Thursday,1,3,False
2021-01-22,2021,1,22,Friday,1,3,False
2021-01-23,2021,1,23,Saturday,1,3,True
2021-01-24,2021,1,24,Sunday,1,3,True
2021-01-25,2021,1,25,Monday,1,4,False
2021-01-26,2021,1,26,Tuesday,1,4,False
2021-01-27,2021,1,27,Wednesday,1,4,False
2021-01-28,2021,1,28,Thursday,1,4,False
2021-01-29,2021,1,29,Friday,1,4,False
2021-01-30,2021,1,30,Saturday,1,4,True
2021-01-31,2021,1,31,Sunday,1,4,True
2021-02-01,2021,2,1,Monday,1,5,False
2021-02-02,2021,2,2,Tuesday,1,5,False
2021-02-03,2021,2,3,Wednesday,1,5,False
2021-02-04,2021,2,4,Thursday,1,5,False
2021-02-05,2021,2,5,Friday,1,5,False
2021-02-06,2021,2,6,Saturday,1,5,True
2021-02-07,2021,2,7,Sunday,1,5,True
2021-02-08,2021,2,8,Monday,1,6,False
2021-02-09,2021,2,9,Tuesday,1,6,False
2021-02-10,2021,2,10,Wednesday,1,6,False
2021-02-11,2021,2,11,Thursday,1,6,False
2021-02-12,2021,2,12,Friday,1,6,False
2021-02-13,2021,2,13,Saturday,1,6,True
2021-02-14,2021,2,14,Sunday,1,6,True
2021-02-15,2021,2,15,Monday,1,7,False
2021-02-16,2021,2,16,Tuesday,1,7,False
2021-02-17,2021,2,17,Wednesday,1,7,False
2021-02-18,2021,2,18,Thursday,1,7,False
2021-02-19,2021,2,19,Friday,1,7,False
2021-02-20,2021,2,20,Saturday,1,7,True
2021-02-21,2021,2,21,Sunday,1,7,True
2021-02-22,2021,2,22,Monday,1,8,False
2021-02-23,2021,2,23,Tuesday,1,8,False
2021-02-24,2021,2,24,Wednesday,1,8,False
2021-02-25,2021,2,25,Thursday,1,8,False
2021-02-26,2021,2,26,Friday,1,8,False
2021-02-27,2021,2,27,Saturday,1,8,True
2021-02-28,2021,2,28,Sunday,1,8,True
2021-03-01,2021,3,1,Monday,1,9,False
2021-03-02,2021,3,2,Tuesday,1,9,False
2021-03-03,2021,3,3,Wednesday,1,9,False
2021-03-04,2021,3,4,Thursday,1,9,False
2021-03-05,2021,3,5,Friday,1,9,False
2021-03-06,2021,3,6,Saturday,1,9,True
2021-03-07,2021,3,7,Sunday,1,9,True
2021-03-08,2021,3,8,Monday,1,10,False
2021-03-09,2021,3,9,Tuesday,1,10,False
2021-03-10,2021,3,10,Wednesday,1,10,False
2021-03-11,2021,3,11,Thursday,1,10,False
2021-03-12,2021,3,12,Friday,1,10,False
2021-03-13,2021,3,13,Saturday,1,10,True
2021-03-14,2021,3,14,Sunday,1,10,True
2021-03-15,2021,3,15,Monday,1,11,False
2021-03-16,2021,3,16,Tuesday,1,11,False
2021-03-17,2021,3,17,Wednesday,1,11,False
2021-03-18,2021,3,18,Thursday,1,11,False
2021-03-19,2021,3,19,Friday,1,11,False
2021-03-20,2021,3,20,Saturday,1,11,True
2021-03-21,2021,3,21,Sunday,1,11,True
2021-03-22,2021,3,22,Monday,1,12,False
2021-03-23,2021,3,23,Tuesday,1,12,False
2021-03-24,2021,3,24,Wednesday,1,12,False
2021-03-25,2021,3,25,Thursday,1,12,False
2021-03-26,2021,3,26,Friday,1,12,False
2021-03-27,2021,3,27,Saturday,1,12,True
2021-03-28,2021,3,28,Sunday,1,12,True
2021-03-29,2021,3,29,Monday,1,13,False
2021-03-30,2021,3,30,Tuesday,1,13,False
2021-03-31,2021,3,31,Wednesday,1,13,False
2021-04-01,2021,4,1,Thursday,2,13,False
2021-04-02,2021,4,2,Friday,2,13,False
2021-04-03,2021,4,3,Saturday,2,13,True
2021-04-04,2021,4,4,Sunday,2,13,True
2021-04-05,2021,4,5,Monday,2,14,False
2021-04-06,2021,4,6,Tuesday,2,14,False
2021-04-07,2021,4,7,Wednesday,2,14,False
2021-04-08,2021,4,8,Thursday,2,14,False
2021-04-09,2021,4,9,Friday,2,14,False
2021-04-10,2021,4,10,Saturday,2,14,True
2021-04-11,2021,4,11,Sunday,2,14,True
2021-04-12,2021,4,12,Monday,2,15,False
2021-04-13,2021,4,13,Tuesday,2,15,False
2021-04-14,2021,4,14,Wednesday,2,15,False
2021-04-15,2021,4,15,Thursday,2,15,False
2021-04-16,2021,4,16,Friday,2,15,False
2021-04-17,2021,4,17,Saturday,2,15,True
2021-04-18,2021,4,18,Sunday,2,15,True
2021-04-19,2021,4,19,Monday,2,16,False
2021-04-20,2021,4,20,Tuesday,2,16,False
2021-04-21,2021,4,21,Wednesday,2,16,False
